16
1.1,-32,-32
1.1,-32,0
1.1,-32,32
1.1,-32,64
1.1,-32,96
1.1,-32,128
1.1,-32,160
1.1,-32,192
1.1,-32,224
1.1,-32,256
1.1,-32,288
1.1,-32,320
1.1,-32,352
1.1,-32,384
1.1,-32,416
1.1,-32,448
1.1,-32,480
1.1,-32,512
1.1,-32,544
1.1,-32,576
1.1,-32,608
1.1,-32,640
1.1,-32,672
1.1,-32,704
1.1,-32,736
1.1,-32,768
1.1,-32,800
1.1,0,-32
0.1,0,0
0.1,0,32
0.1,0,64
0.1,0,96
0.1,0,128
0.1,0,160
0.1,0,192
0.1,0,224
0.1,0,256
0.1,0,288
0.1,0,320
0.1,0,352
0.1,0,384
0.1,0,416
0.1,0,448
0.1,0,480
0.1,0,512
0.1,0,544
0.1,0,576
0.1,0,608
0.1,0,640
0.1,0,672
0.1,0,704
0.1,0,736
0.1,0,768
1.1,0,800
1.1,32,-32
0.1,32,0
0.1,32,32
0.1,32,64
0.1,32,96
0.1,32,128
0.1,32,160
0.1,32,192
0.1,32,224
0.1,32,256
0.1,32,288
0.1,32,320
0.1,32,352
0.1,32,384
0.1,32,416
0.1,32,448
0.1,32,480
0.1,32,512
0.1,32,544
0.1,32,576
0.1,32,608
0.1,32,640
0.1,32,672
0.1,32,704
0.1,32,736
0.1,32,768
1.1,32,800
1.1,64,-32
0.1,64,0
0.1,64,32
0.1,64,64
0.1,64,96
0.1,64,128
0.1,64,160
0.1,64,192
0.1,64,224
0.1,64,256
0.1,64,288
0.1,64,320
0.1,64,352
0.1,64,384
0.1,64,416
0.1,64,448
0.1,64,480
0.1,64,512
0.1,64,544
0.1,64,576
0.1,64,608
0.1,64,640
0.1,64,672
0.1,64,704
0.1,64,736
0.1,64,768
1.1,64,800
1.1,96,-32
0.1,96,0
0.1,96,32
0.1,96,64
0.1,96,96
0.1,96,128
0.1,96,160
0.1,96,192
0.1,96,224
0.1,96,256
0.1,96,288
0.1,96,320
0.1,96,352
0.1,96,384
0.1,96,416
0.1,96,448
0.1,96,480
0.1,96,512
0.1,96,544
0.1,96,576
0.1,96,608
0.1,96,640
0.1,96,672
0.1,96,704
0.1,96,736
0.1,96,768
1.1,96,800
1.1,128,-32
0.1,128,0
0.1,128,32
0.1,128,64
0.1,128,96
0.1,128,128
0.1,128,160
0.1,128,192
0.1,128,224
0.1,128,256
0.1,128,288
