1.0,0,0,32,32
1.0,64,0,32,32
1.0,96,0,32,32
1.0,32,0,32,32
1.0,128,0,32,32
1.0,160,0,32,32
1.0,192,0,32,32
1.0,224,0,32,32
1.0,256,0,32,32
1.0,288,0,32,32
1.0,320,0,32,32
1.0,352,0,32,32
1.0,384,0,32,32
1.0,416,0,32,32
1.0,448,0,32,32
1.0,480,0,32,32
1.0,512,0,32,32
1.0,544,0,32,32
1.0,576,0,32,32
1.0,608,0,32,32
1.0,640,0,32,32
1.0,672,0,32,32
1.0,704,0,32,32
1.0,736,0,32,32
1.0,768,0,32,32
1.0,800,0,32,32
1.0,832,0,32,32
1.0,864,0,32,32
1.0,896,0,32,32
1.0,928,0,32,32
1.0,960,0,32,32
1.0,992,0,32,32
1.0,992,32,32,32
1.0,992,64,32,32
1.0,992,96,32,32
1.0,992,128,32,32
1.0,992,160,32,32
1.0,992,192,32,32
1.0,992,224,32,32
1.0,992,256,32,32
1.0,992,288,32,32
1.0,992,320,32,32
1.0,992,352,32,32
1.0,992,384,32,32
1.0,992,416,32,32
1.0,992,448,32,32
1.0,992,480,32,32
1.0,992,512,32,32
1.0,992,544,32,32
1.0,992,576,32,32
1.0,992,608,32,32
1.0,992,640,32,32
1.0,992,672,32,32
1.0,992,704,32,32
1.0,992,736,32,32
1.0,992,768,32,32
1.0,960,768,32,32
1.0,928,768,32,32
1.0,896,768,32,32
1.0,864,768,32,32
1.0,832,768,32,32
1.0,800,768,32,32
1.0,768,768,32,32
1.0,736,768,32,32
1.0,704,768,32,32
1.0,672,768,32,32
1.0,640,768,32,32
1.0,608,768,32,32
1.0,576,768,32,32
1.0,544,768,32,32
1.0,512,768,32,32
1.0,480,768,32,32
1.0,448,768,32,32
1.0,416,768,32,32
1.0,384,768,32,32
1.0,352,768,32,32
1.0,320,768,32,32
1.0,288,768,32,32
1.0,256,768,32,32
1.0,224,768,32,32
1.0,192,768,32,32
1.0,160,768,32,32
1.0,128,768,32,32
1.0,96,768,32,32
1.0,64,768,32,32
1.0,32,768,32,32
1.0,0,768,32,32
1.0,0,736,32,32
1.0,0,704,32,32
1.0,0,672,32,32
1.0,0,640,32,32
1.0,0,608,32,32
1.0,0,576,32,32
1.0,0,544,32,32
1.0,0,512,32,32
1.0,0,480,32,32
1.0,0,448,32,32
1.0,0,416,32,32
1.0,0,384,32,32
1.0,0,352,32,32
1.0,0,320,32,32
1.0,0,288,32,32
1.0,0,256,32,32
1.0,0,224,32,32
1.0,0,192,32,32
1.0,0,160,32,32
1.0,0,128,32,32
1.0,0,96,32,32
1.0,0,64,32,32
1.0,0,32,32,32
1.0,160,32,32,32
1.0,160,64,32,32
1.0,32,160,32,32
1.0,64,160,32,32
1.0,160,256,32,32
1.0,192,256,32,32
1.0,128,256,32,32
1.0,224,256,32,32
1.0,288,256,32,32
1.0,256,256,32,32
1.0,320,32,32,32
1.0,320,64,32,32
1.0,320,256,32,32
1.0,320,224,32,32
1.0,320,96,32,32
1.0,704,320,32,32
1.0,736,320,32,32
1.0,864,320,32,32
1.0,896,320,32,32
1.0,928,320,32,32
1.0,960,320,32,32
1.0,576,32,32,32
1.0,576,160,32,32
1.0,576,352,32,32
1.0,576,384,32,32
1.0,576,416,32,32
1.0,576,448,32,32
1.0,576,480,32,32
1.0,576,544,32,32
1.0,576,512,32,32
1.0,608,544,32,32
1.0,640,544,32,32
